,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
The Warehouse Milford,37926.69,5010.99,12143.43,15116.95,19079.87,17195.48,22595.49,21314.61,22899.38,21992.36,6214.32,28853.91,19750.96,25011.81,0,9553.69,25480.08,29905.85,32021.34,36371.08,39663.06,39995.54,21094.6,21275.86,22851.39,14643.67,19203.52,29848.52,11567.64,17097.33,17249.18,22344.12,3645.01,3645.01,25091.03,9267.87,19553.54,35720.84,29197.92,32526.44,32506.84,44135.19
The Warehouse Albany,44061.34,11145.65,18278.08,21251.6,25214.53,23330.13,28730.14,27449.26,29034.03,31015.95,10060.91,26972.56,17869.61,23130.46,11509.43,0,31614.73,36040.5,38156,42505.73,45797.71,46130.19,27229.25,27410.51,28986.04,20778.33,25338.17,35983.17,17702.29,23231.99,23383.83,31367.7,7397.22,7397.22,23209.68,409.92,17672.19,41855.5,35332.57,38661.09,38641.49,50269.84
The Warehouse Pakuranga,20326.28,21936.68,14590.16,13677.41,10142.06,18725.74,24125.75,4963.31,4388.95,23522.63,28014.03,27483.62,30270.15,27949.51,25662.69,31269.93,0,4740,14420.93,18077.94,22062.64,22395.12,5839.68,5002.15,4656.73,11388.1,10022.36,4682.67,14905.94,18627.6,18779.45,23874.38,25368.24,25368.24,28028.73,30984.11,30072.73,9302.17,11597.51,14926.03,14906.42,26534.77
The Warehouse Botany Downs,14393.65,26284.1,18937.57,18024.83,14489.48,23073.16,27478.97,9513.95,8736.37,27870.05,32361.45,31831.04,34617.57,32296.92,30010.11,35617.35,4722.21,0,8433.52,22455.07,16130.02,16467.53,10187.1,9552.79,9004.15,15735.52,14369.78,206.51,19253.36,22975.02,23126.87,28221.8,29715.65,29715.65,32376.15,35331.53,34420.15,5074.79,8287.28,8938.62,8700.59,20607.18
The Warehouse Manukau,5575.17,28311.53,20965,20052.25,16239.33,25100.59,18660.49,14544.71,10548.93,24832.21,34388.88,32368.04,35154.57,32833.93,32037.54,37644.78,13891.21,8457.99,0,13636.59,7311.54,9802.4,14614.03,14583.55,10500.94,17762.95,16359.03,8316.14,21280.79,25002.45,25154.29,24256.23,31743.08,31743.08,32913.15,37358.96,34957.15,5922.48,3184.59,753.47,927.06,13942.05
The Warehouse Airport,9214.25,32806.52,27157.44,27719.54,11812.79,18757.97,14233.95,19311.05,20553.38,20405.67,38883.88,27941.5,30728.04,28407.39,36532.54,42139.77,18827.79,17899.78,9446.95,0,10950.62,17818.58,15140.07,19056.82,20505.39,27246.27,11932.49,17757.93,27060.35,18942.32,18811.67,19829.69,36238.08,36238.08,28486.61,41853.96,30530.62,15364.26,9257.33,8766.37,9524.73,21958.23
The Warehouse Clendon,2868.26,35980.4,28633.87,27721.12,17314.13,24259.3,19735.28,22213.58,18217.8,25907.01,42057.75,33442.84,36229.37,33908.72,39706.41,45313.65,21560.08,15564.19,7111.36,14711.38,0,7424.61,22282.89,22252.42,18169.81,25431.81,17433.83,15422.34,28949.66,24443.65,24313.01,25331.02,39411.95,39411.95,33987.95,45027.83,36031.95,11813,8770.58,6444.91,6331.35,11604.05
The Warehouse Takanini,14119.72,36882.11,29535.58,28622.83,24783.88,33671.17,27205.04,23115.29,19119.51,33376.77,42959.46,42429.05,45215.58,42894.93,40608.12,46215.36,22461.79,17063.27,10211.28,22181.14,7480.29,0,23184.6,23154.13,19071.52,26333.52,24903.58,17558.35,29851.37,33573.02,33724.87,32800.78,40313.66,40313.66,42974.16,45929.54,45018.16,13115.95,13913.84,10620.8,9504.49,2455.64
Noel Leeming Penrose Clearance,18403.24,18532.48,11185.96,10273.21,5528.89,15321.54,20721.55,4171.01,2962.98,20118.43,24609.83,24079.42,26865.95,24545.31,22258.49,27865.73,5792.67,10218.44,12497.89,14439.22,20139.61,20472.09,0,4209.85,2914.99,7983.9,5409.19,10161.1,11501.75,15223.4,15375.25,20470.18,21964.04,21964.04,24624.53,27579.91,26668.53,16197.39,9674.47,13002.99,12983.39,24611.74
Noel Leeming Lunn Avenue,23352.27,16968.97,9622.45,6575.4,7712.51,13758.03,19158.04,38.84,5122.65,18554.92,23046.32,22515.91,25302.44,22981.8,20694.98,26302.22,5068.52,9620.66,17446.92,17719.08,25088.64,25421.12,4232.31,0,5074.67,6420.39,7592.81,9563.32,9938.24,13659.89,13811.74,18906.67,20400.53,20400.53,23061.02,26016.4,25105.02,21146.42,14623.5,17952.02,17932.42,29560.77
